"","X","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread","is.token","eth.based"
"4755",4755,"ethereum","ETH","Ethereum","2017-09-13",3,291.12,291.12,260.61,277.11,921692032,26215830135,0.5408,30.51,FALSE,FALSE
"4756",4756,"ethereum","ETH","Ethereum","2017-09-14",3,276.59,280.84,213.91,213.91,1184589952,20240633669,0,66.93,FALSE,FALSE
"4757",4757,"ethereum","ETH","Ethereum","2017-09-15",3,215.22,258.65,195.04,250.46,1935699968,23704566170,0.8712,63.61,FALSE,FALSE
"4758",4758,"ethereum","ETH","Ethereum","2017-09-16",3,250.87,262.59,238.22,246.52,711737024,23336257868,0.3406,24.37,FALSE,FALSE
"4759",4759,"ethereum","ETH","Ethereum","2017-09-17",3,245.85,257,235.24,251.75,427452000,23835888183,0.7587,21.76,FALSE,FALSE
"4760",4760,"ethereum","ETH","Ethereum","2017-09-18",3,252.23,293.5,252.23,293.5,1127750016,27794233413,1,41.27,FALSE,FALSE
"4761",4761,"ethereum","ETH","Ethereum","2017-09-19",3,293.66,295.77,274.48,282.8,646908992,26787085258,0.3908,21.29,FALSE,FALSE
"4762",4762,"ethereum","ETH","Ethereum","2017-09-20",3,282.02,290.89,278.05,283.74,421404000,26881372918,0.4431,12.84,FALSE,FALSE
"4763",4763,"ethereum","ETH","Ethereum","2017-09-21",3,283.26,286.61,255.02,258.58,601265984,24502550354,0.1127,31.59,FALSE,FALSE
"4764",4764,"ethereum","ETH","Ethereum","2017-09-22",3,258.11,270.54,256.22,264.31,430080992,25049676632,0.5649,14.32,FALSE,FALSE
"4765",4765,"ethereum","ETH","Ethereum","2017-09-23",3,264.6,286.17,261.12,286.17,450934016,27125537826,1,25.05,FALSE,FALSE
"4766",4766,"ethereum","ETH","Ethereum","2017-09-24",3,286.21,292.95,278.13,282.48,571411008,26780610986,0.2935,14.82,FALSE,FALSE
"4767",4767,"ethereum","ETH","Ethereum","2017-09-25",3,282.22,293.52,281.88,292.33,483160992,27718684465,0.8978,11.64,FALSE,FALSE
"4768",4768,"ethereum","ETH","Ethereum","2017-09-26",3,292.35,293.75,287.02,287.44,345800992,27259015800,0.0624,6.73,FALSE,FALSE
"4769",4769,"ethereum","ETH","Ethereum","2017-09-27",3,287.02,308.02,286.82,306.47,550243968,29068342956,0.9269,21.2,FALSE,FALSE
"4770",4770,"ethereum","ETH","Ethereum","2017-09-28",3,306.47,307.2,295.47,299.15,501894016,28379292201,0.3137,11.73,FALSE,FALSE
"4771",4771,"ethereum","ETH","Ethereum","2017-09-29",3,299.12,299.92,279.77,291.47,541374976,27654290280,0.5806,20.15,FALSE,FALSE
"4772",4772,"ethereum","ETH","Ethereum","2017-09-30",3,291.48,303.96,291.11,301.46,332439008,28607406298,0.8054,12.85,FALSE,FALSE
"4773",4773,"ethereum","ETH","Ethereum","2017-10-01",3,301.55,303.19,295.06,302.34,306184992,28694730559,0.8954,8.13,FALSE,FALSE
"4774",4774,"ethereum","ETH","Ethereum","2017-10-02",3,302.48,302.92,294.58,297.48,339443008,28237763674,0.3477,8.34,FALSE,FALSE
